"","site","latitude","longitude","easting","northing","region","rainfall_total","rainfall_total_avg_past5years","rainfall_total_medianhistoric","historic_ratio","summary_at"
"31","HY Riwaka at Takaka Hill",-41.02675142,172.87713449,1589671.00040875,5458266.00027014,"nelsontasman",598.93,239.606744186047,222,2.69788288288288,"20221205T1345"
"32","HY Riwaka North at Littles",-41.03639187,172.90792962,1592261.00015207,5457199.000242,"nelsontasman",429.04,190.152962962963,189.36,2.26573722010984,"20221205T1345"
"33","HY Riwaka South at Moss Bush",-41.05259603,172.91781961,1593094.00013742,5455401.00050675,"nelsontasman",367,184.834590163934,177.04,2.07297785811116,"20221205T1345"
"34","HY Roding at Caretakers",-41.35673212,173.26180417,1621899.00004871,5421608.00009504,"nelsontasman",440,133.13253164557,114.25,3.85120350109409,"20221205T1345"
"35","HY Tadmor at Mudstone",-41.45071299,172.73628589,1577973.0001952,5411173.99996066,"nelsontasman",161.93,110.897608695652,110.095,1.47082065488896,"20221205T1345"
"36","HY Takaka at Canaan",-40.93986863,172.90820634,1592273.00037921,5467913.99985066,"nelsontasman",960.5,350.134827586207,326.45,2.9422576198499,"20221205T1345"
"37","HY Takaka at Harwoods",-41.02973014,172.79824836,1583039.99976497,5457923.00041379,"nelsontasman",645.71,237.586285714286,215.5,2.99633410672854,"20221205T1345"
"38","HY Takaka at Kotinga",-40.87045465,172.80908077,1583911.99959386,5475605.99962929,"nelsontasman",751.5,201.473870967742,177.54,4.23284893545117,"20221205T1345"
"39","HY Tapawera at WWTP",-41.38490989,172.81869477,1584840.99975892,5418497.00036123,"nelsontasman",121.74,121.74,121.74,1,"20221205T1345"
"40","HY Wai-iti at Belgrove",-41.45536724,172.95803403,1596495.00005276,5410690.00020855,"nelsontasman",177.01,99.7032258064516,102.88,1.72054821150855,"20221205T1345"
"41","HY Wai-iti at Birds",-41.42307963,173.06986475,1605838.00031925,5414273.00040631,"nelsontasman",192.5,96.7851219512195,96.68,1.99110467521721,"20221205T1345"
"42","HY Waimea at TDC Nursery",-41.31367862,173.12623421,1610566.00003528,5426413.00045514,"nelsontasman",198,86.4922222222222,81.745,2.42216649336351,"20221205T1345"
"43","HY Waingaro at Hanging Rock",-40.94025713,172.75064585,1579010.00039466,5467844.99954353,"nelsontasman",704.53,307.185428571429,283.81,2.4824001973151,"20221205T1345"
"44","HY Wairoa at Haycock Rd",-41.39193895,173.13283275,1611105.00025906,5417724.00010519,"nelsontasman",250.86,130.224,94.25,2.66164456233422,"20221205T1345"
"45","HY Wairoa at Little Ben",-41.4660541,173.09562148,1607985.00023483,5409499.99976141,"nelsontasman",286.5,103.504146341463,88.58,3.23436441634681,"20221205T1345"
"46","HY Wakapuaka at Fire Station",-41.21303746,173.39792321,1633358.0003633,5437516.99960034,"nelsontasman",610,186.90125,128.155,4.75986110569233,"20221205T1345"
"47","HY Wangapeka at Biggs Tops",-41.41733899,172.40002877,1549860.99996982,5414739.00047283,"nelsontasman",531.88,302.559117647059,307.83,1.72783679303512,"20221205T1345"
"48","HY Wangapeka at Walter Peak",-41.33998227,172.7653103,1580364.00002367,5423474.00022266,"nelsontasman",186.66,139.520285714286,142.29,1.31182795698925,"20221205T1345"
"49","Awatere at Awapiri",-41.83477611,173.73081669,1660681.00034428,5368310.00048842,"marlborough",107.86,71.6069230769231,59.5,1.8127731092437,"20221205T1345"
"50","Awatere Glenbrae NRFA",-41.65152277,174.05015719,1687444.99968608,5388380.99949193,"marlborough",57.4,45.6444444444444,50.8,1.12992125984252,"20221205T1345"
"51","Beneagle at Farm Stream",-41.58915653,173.9841186,1682024.99965165,5395369.99999684,"marlborough",94.31,69.6257142857143,60.36,1.56245858184228,"20221205T1345"
"52","Blenheim at MDC Office",-41.51167038,173.95492702,1679687.00001699,5404000.00050345,"marlborough",103.5,56.6896551724138,53,1.95283018867925,"20221205T1345"
"53","Branch at Branch Recorder",-41.70107442,173.18354863,1615271.99970437,5383395.99975944,"marlborough",283.45,104.889347826087,102.1,2.77619980411361,"20221205T1345"
"54","Flaxbourne at Corrie Downs",-41.80297379,174.13266349,1694093.99981284,5371478.9999959,"marlborough",65.52,71.904,57.5,1.13947826086957,"20221205T1345"
"55","Kaituna Rainfall at Higgins Bridge",-41.31103626,173.77418073,1664803.00040285,5426425.00008723,"marlborough",362.5,147.09375,138.75,2.61261261261261,"20221205T1345"
"56","Kenepuru Head NRFA",-41.15792839,174.13257009,1695024.00018492,5443092.99993302,"marlborough",516.2,177.15,147.3,3.50441276306857,"20221205T1345"
"57","Koromiko NRFA",-41.34206742,173.96170794,1680462.00020181,5422823.00038853,"marlborough",286.8,157.2,135.1,2.12287194670614,"20221205T1345"
"58","Lansdowne NRFA",-41.58717814,173.53124809,1644279.99969604,5395921.00009484,"marlborough",239,91.0222222222222,89.8,2.66146993318486,"20221205T1345"
"59","Malings",-42.21730244,172.65240331,1571311.0004082,5326038.0003708,"marlborough",275.5,152.75,157,1.75477707006369,"20221205T1345"
"60","Mid Awatere Valley NRFA",-41.8886627,173.62579244,1651917.00000722,5362396.00018869,"marlborough",77.6,63.5666666666667,74.1,1.0472334682861,"20221205T1345"
"61","Molesworth NRFA",-42.08543727,173.26000288,1621503.99984811,5340705.00016325,"marlborough",99.2,54.6,46.6,2.12875536480687,"20221205T1345"
"62","Omaka at Ramshead Saddle",-41.69689019,173.74738829,1662189.9997942,5383606.9996683,"marlborough",141.22,80.34125,69.03,2.04577719831957,"20221205T1345"
"63","Onamalutu at Bartletts Creek Saddle",-41.48004061,173.64641151,1653967.99993151,5407749.99961724,"marlborough",449.99,162.420322580645,134.5,3.34565055762082,"20221205T1345"
"64","Onamalutu at Hilltop Road NRFA",-41.44463953,173.72670928,1660704.99964852,5411627.00020493,"marlborough",447.6,174.525,180.45,2.48046550290939,"20221205T1345"
"65","Picton Climate at Waitohi Domain",-41.29043927,174.0024981,1683941.00008001,5428515.99982556,"marlborough",331.65,137.058,95.8,3.46189979123173,"20221205T1345"
"66","Pudding Hill NRFA",-42.21119707,173.07002393,1605779.99987428,5326772.00054466,"marlborough",124,57.52,48.2,2.57261410788382,"20221205T1345"
"67","Rai at Rai Falls",-41.28420906,173.57471142,1648126.0002708,5429533.00055143,"marlborough",912.77,210.055,148,6.16736486486487,"20221205T1345"
"68","Rai Valley NRFA",-41.21450897,173.62446543,1652347.9995907,5437242.00035474,"marlborough",735.2,234.26,185,3.97405405405405,"20221205T1345"
"69","Rarangi at Driving Range",-41.40265282,174.04127111,1687038.00016413,5416020.00006937,"marlborough",185.64,96.5846153846154,93.78,1.97952655150352,"20221205T1345"
"70","St Arnaud NRFA",-41.80435253,172.8429533,1586953.9996068,5371934.00009066,"marlborough",199.4,117,147,1.35646258503401,"20221205T1345"
"71","Taylor at Taylor Pass Landfill",-41.56407676,173.93270765,1677769.99977907,5398202.0005419,"marlborough",111.4,69.0764705882353,55.59,2.00395754632128,"20221205T1345"
"72","Taylor at Tinpot",-41.62887685,173.88335201,1673580.99999981,5391050.99958108,"marlborough",137.92,92.9835294117647,75.5,1.82675496688742,"20221205T1345"
"73","Te Rapa",-41.88979678,174.08146118,1689718.99967724,5361894.00033519,"marlborough",86.02,82.7814285714286,79.25,1.08542586750789,"20221205T1345"
"74","Top Valley at Staircase Ridge",-41.56538793,173.37093347,1630927.99993752,5398409.9997548,"marlborough",410.21,146.962432432432,121.5,3.37621399176955,"20221205T1345"
"75","Tor Darroch NRFA",-41.70555339,173.50666814,1642154.00003042,5382791.00013327,"marlborough",163.8,92.9333333333333,85.4,1.91803278688525,"20221205T1345"
"76","Tunakino",-41.1561398,173.65494681,1654951.9997424,5443703.00016949,"marlborough",1241.53,244.245609756098,200.5,6.19216957605985,"20221205T1345"
"77","Upper Clarence NRFA",-42.21155973,173.41687461,1634410.00039787,5326650.00039829,"marlborough",34.2,43.1428571428571,34.2,1,"20221205T1345"
"78","Waihopai at Craiglochart",-41.62036754,173.68945125,1657436.99988482,5392143.00013274,"marlborough",128.36,62.8497142857143,46,2.7904347826087,"20221205T1345"
"79","Waihopai at Spray Confluence",-41.73038525,173.46861471,1638972.99974913,5380051.9997235,"marlborough",163.44,79.944,75,2.1792,"20221205T1345"
"80","Waikakaho",-41.43138147,173.89755697,1674992.00037843,5412964.99945299,"marlborough",212.34,97.3576923076923,82,2.58951219512195,"20221205T1345"
"81","Waikawa at Boons Valley",-41.29837722,174.0437912,1687388.00021702,5427594.00052937,"marlborough",143,138.154444444444,132,1.08333333333333,"20221205T1345"
"82","Wairau at Narrows",-41.51603498,173.69715129,1658172.00000798,5403720.99949673,"marlborough",246,96.46,85,2.89411764705882,"20221205T1345"
"83","Wairau Valley at Southwold",-41.54499954,173.575624,1648010.00031744,5400580.00029278,"marlborough",272.45,94.9158,85.275,3.194957490472,"20221205T1345"
"84","Wakamarina at Twin Falls",-41.3298228,173.66212055,1655407.00023893,5424416.99949464,"marlborough",590.28,182.239375,160.45,3.67890308507323,"20221205T1345"
"85","Ward NRFA",-41.83861546,174.0772266,1689438.99986067,5367580.99986735,"marlborough",65,54.425,50.6,1.28458498023715,"20221205T1345"
"86","Wye at Charlies Rest",-41.70550427,173.31012606,1625802.00019197,5382873.99945477,"marlborough",207.76,80.7757777777778,74.5,2.78872483221476,"20221205T1345"
"87","Ahaura Rv @ Gorge WCRC",-42.43452185,171.7306149,1495590.00027764,5301196.99951559,"westcoast",234.5,148.082,162,1.44753086419753,"20221205T1345"
"88","Arnold Rv @ Moana",-42.57714236,171.479685,1475234.00020359,5285020.99946149,"westcoast",369.5,209.782222222222,218.75,1.68914285714286,"20221205T1345"
"89","Buller Rv @ Bald Hill",-41.80666803,171.57903321,1481961.99992449,5370713.00047334,"westcoast",373.5,288.875,294,1.27040816326531,"20221205T1345"
"90","Buller Rv @ Three Channel Flat",-41.85119853,171.98310787,1515587.0000385,5366245.00046609,"westcoast",299.5,231.68,241.11,1.2421716229107,"20221205T1345"
"91","Cropp Rv @ Base OTA",-43.07592803,170.96413412,1434261.99998615,5228742.0000647,"westcoast",1537.22,943.795,816.825,1.88194533712852,"20221205T1345"
"92","Grey Rv @ Conical Hill new",-42.36780072,171.9951347,1517259.9997401,5308897.00011533,"westcoast",177.5,170.5,159.5,1.1128526645768,"20221205T1345"
"93","Grey Rv @ Haupiri",-42.59546333,171.72344047,1495268.99991864,5283317.00030224,"westcoast",350.5,299.135,308.75,1.13522267206478,"20221205T1345"
"94","Grey Rv @ Ngahere",-42.39638682,171.4372183,1471378.99988192,5305028.99988649,"westcoast",368.5,291.375,294.25,1.25233644859813,"20221205T1345"
"95","Grey Rv @ WCRC Office2",-42.49880151,171.17315402,1449890.00033893,5293223.00020702,"westcoast",319,274.5,287,1.11149825783972,"20221205T1345"
"96","Haast Rv @ Deelaw",-43.89998075,169.14675768,1290542.00006608,5132015.00002313,"westcoast",663.38,471.34,443.24,1.49666095117769,"20221205T1345"
"97","Haast Rv @ Roaring Billy WCRC",-43.94249579,169.29806163,1302905.99980475,5127849.00043909,"westcoast",766.23,530.1525,482.19,1.58906240278728,"20221205T1345"
"98","Hokitika Rv @ Colliers Ck",-42.98914446,170.9949069,1436537.00026185,5238439.99961704,"westcoast",1222.24,751.335,648,1.88617283950617,"20221205T1345"
"99","Hokitika Rv @ Gorge WCRC",-42.95530492,171.02078228,1438557.99978904,5242247.99985215,"westcoast",859.06,563.8825,492.5,1.74428426395939,"20221205T1345"
"100","Inangahua Rv @ Landing",-41.91135934,171.89402319,1508278.00039882,5359474.00029339,"westcoast",356.5,269.875,300.25,1.18734388009992,"20221205T1345"
"101","Karamea Rv @ Garibaldi",-41.23477402,172.41271509,1550783.99985464,5435014.00040059,"westcoast",403.5,476.75,412.25,0.978775015160703,"20221205T1345"
"102","Karamea Rv @ Township",-41.24518178,172.13004649,1527107.00009861,5433660.00005989,"westcoast",248,226.125,238.5,1.0398322851153,"20221205T1345"
"103","Maruia Rv @ Springs Junction",-42.3340597,172.18017381,1532460.00030362,5312806.9998212,"westcoast",279,235.375,261.25,1.06794258373206,"20221205T1345"
"104","Mawheraiti Rv @ Atarau Br",-42.27241154,171.66909483,1490247.99983837,5319119.99944583,"westcoast",143.33,194.3325,154.915,0.925217054513766,"20221205T1345"
"105","Mokihinui Rv @ Stoney Ck",-41.57110997,172.25056099,1537517.99978653,5397570.00023345,"westcoast",644.5,486.375,521,1.23704414587332,"20221205T1345"
"106","Orikaka Rv @ Plateau Stm",-41.7236643,171.93663422,1511554.00032764,5380357.99971899,"westcoast",808.5,484.6225,457.5,1.7672131147541,"20221205T1345"
"107","Reefton @ Township",-42.11569947,171.860115,1505768.00004729,5336748.99968822,"westcoast",276,206.25,218.75,1.26171428571429,"20221205T1345"
"108","Ross @ Township",-42.9003443,170.82128998,1422127.00037543,5247949.00032053,"westcoast",528.5,377.625,349,1.51432664756447,"20221205T1345"
"109","Sirdar Ck @ Paparoa",-42.03307846,171.57654935,1482172.99971009,5345570.99952354,"westcoast",693,582.875,588.5,1.17757009345794,"20221205T1345"
"110","Styx Rv @ Mt Browning new",-42.90736017,171.29953093,1461187.99967079,5248070.00018409,"westcoast",1177.34,766.4625,692.755,1.69950415370513,"20221205T1345"
"111","Waiho Rv @ SH6",-43.39380089,170.18003091,1371617.00035479,5191590.00039056,"westcoast",715.98,475.37,420.75,1.70167557932264,"20221205T1345"
